"Date";"Open";"High";"Low";"Close";"Volume";"Adjusted";"Company"
2017-01-02;10,31;10,72;10,21;10,67;281400;9,534492;"BRSR6"
2017-01-03;10,68;11,25;10,68;11,25;622700;10,05277;"BRSR6"
2017-01-04;11,22;11,6;11,11;11,58;499100;10,347651;"BRSR6"
2017-01-05;11,6;11,85;11,31;11,75;362000;10,499558;"BRSR6"
2017-01-06;11,75;12;11,66;11,95;546800;10,678274;"BRSR6"
2017-01-09;11,95;11,99;11,62;11,83;763500;10,571045;"BRSR6"
2017-01-10;11,83;11,94;11,53;11,75;749600;10,499558;"BRSR6"
2017-01-11;11,75;12,2;11,75;12,19;537300;10,892731;"BRSR6"
2017-01-12;12,31;13,07;12,31;12,79;1203100;11,428881;"BRSR6"
2017-01-13;12,74;12,88;12,55;12,78;1022200;11,419947;"BRSR6"
2017-01-16;12,89;13,04;12,68;12,82;247500;11,455688;"BRSR6"
2017-01-17;12,69;13,41;12,69;13,33;672500;11,911413;"BRSR6"
2017-01-18;13,33;13,46;13,03;13,1;1546900;11,70589;"BRSR6"
2017-01-19;13,29;13,31;12,66;12,8;2222700;11,437818;"BRSR6"
2017-01-20;12,85;12,89;12,5;12,65;1017600;11,30378;"BRSR6"
2017-01-23;12,6;13,12;12,6;12,86;706300;11,491431;"BRSR6"
2017-01-24;12,86;13,24;12,76;13,02;967000;11,634405;"BRSR6"
2017-01-26;13,75;14,99;13,75;14,87;4759600;13,287525;"BRSR6"
2017-01-27;15,3;16,5;15,3;15,85;2518400;14,163235;"BRSR6"
2017-01-30;16,02;16,209999;15,21;15,51;1176800;13,859417;"BRSR6"
2017-01-31;15,37;15,81;15,37;15,75;1092600;14,073875;"BRSR6"
2017-02-01;15,74;16,15;15,59;15,75;1279800;14,073875;"BRSR6"
2017-02-02;15,75;15,84;14,71;15,33;1175600;13,698572;"BRSR6"
2017-02-03;15,43;15,92;15,09;15,91;1174400;14,216847;"BRSR6"
2017-02-06;16,049999;16,049999;15,49;15,77;599200;14,091749;"BRSR6"
2017-02-07;15,8;15,89;15,6;15,88;538900;14,190041;"BRSR6"
2017-02-08;15,94;15,94;15,51;15,65;1132900;13,984518;"BRSR6"
2017-02-09;15,74;16,620001;15,5;16,620001;4167100;14,851291;"BRSR6"
2017-02-10;16,51;17,700001;16,41;17,459999;2909500;15,601896;"BRSR6"
2017-02-13;17;17,450001;16,76;17,09;2515400;15,271273;"BRSR6"
2017-02-14;17;17,190001;16,5;16,84;2476200;15,047878;"BRSR6"
2017-02-15;16,99;17;16,440001;16,59;1551200;14,824483;"BRSR6"
2017-02-16;16,6;16,68;16,35;16,5;811500;14,744061;"BRSR6"
2017-02-17;16,4;16,950001;16,32;16,85;808900;15,056814;"BRSR6"
2017-02-20;16,959999;17,25;16,73;17,24;351600;15,405311;"BRSR6"
2017-02-21;17,6;19,49;17,6;19,02;2895900;16,99588;"BRSR6"
